IMG_0001,"143,170,58,117,2t","620,185,45,111,9p","127,812,58,119,9t","624,838,48,120,Kp","444,550,55,124,2t","935,561,45,113,9p","433,1197,59,125,9t","938,1224,52,121,Kp",,,,,,
IMG_0002,"61,674,104,106,Jp","183,555,110,97,Ak","332,478,72,120,Ks","467,464,59,116,5s","573,476,81,122,Kk","701,561,95,95,As","604,1071,140,92,As",,,,,,,
IMG_0003,"68,98,57,110,Jp","686,120,62,103,Ak","88,715,57,123,Ks","607,777,67,118,5s","381,444,63,120,Jp","994,478,58,115,Ak","388,1118,59,126,Ks","963,1138,63,131,5s",,,,,,
IMG_0004,"222,624,101,118,4s","392,570,61,122,5s","496,552,59,122,5t","798,982,63,138,5t",,,,,,,,,,
IMG_0005,"404,246,63,122,Ks","106,857,54,116,Kk","595,883,52,113,4s","735,631,56,126,Ks","372,1246,63,115,Kk","873,1251,71,105,4s",,,,,,,,
IMG_0006,"70,664,90,124,Js","212,575,83,112,Qk","386,523,61,128,7s","561,512,74,116,8s","685,556,88,127,2s","791,626,106,117,7p","770,1196,134,125,7p",,,,,,,
IMG_0007,"93,154,70,144,3p","586,219,85,133,4k","179,844,65,127,3t","671,876,59,117,9p","458,588,69,140,3p","985,626,78,128,4k","496,1247,63,129,3t","1016,1274,54,113,9p",,,,,,
IMG_0008,"226,581,96,146,4k","456,509,69,165,3p","591,529,107,153,7p","768,1173,95,160,7p",,,,,,,,,,
IMG_0009,"275,505,79,157,4k","413,487,83,169,3p","606,494,93,162,8s","843,1182,101,198,8s",,,,,,,,,,
IMG_0010,"282,422,68,153,3p","471,421,79,142,4k","672,471,133,144,3t","615,1157,190,142,3t",,,,,,,,,,
IMG_0011,"197,278,51,107,3p","692,309,60,110,3t","192,901,63,117,4k","683,889,74,131,Js","500,647,63,121,3p","978,691,61,115,3t","519,1308,60,130,4k","966,1321,66,144,Js",,,,,,
IMG_0012,"154,606,101,144,9p","415,487,74,155,3t","586,532,79,151,Js","849,1090,88,144,Js",,,,,,,,,,
IMG_0013,"304,376,70,135,Jk","442,352,70,133,10p","609,377,114,130,Jt","735,476,108,121,Ks","755,1085,144,135,Ks",,,,,,,,,
IMG_0014,"165,480,63,106,Jk","464,881,64,125,Jk","665,464,65,122,10p","1005,862,63,129,10p",,,,,,,,,,
IMG_0015,"203,217,61,112,Jk","505,593,50,114,Jk","680,215,55,112,10p","996,568,51,124,10p","224,862,49,129,Ak","503,1285,65,126,Ak","732,818,61,126,5s","1012,1232,65,134,5s",,,,,,
IMG_0016,"196,426,61,124,Jk","314,404,67,128,10p","471,424,101,119,Jt","590,509,102,113,Ks","681,572,105,111,3s","802,673,126,93,3k","584,1196,121,90,3k",,,,,,,
IMG_0017,"210,633,92,149,Qp","385,559,82,159,4s","575,532,88,153,At","852,1132,81,151,At",,,,,,,,,,
IMG_0018,"39,554,49,102,At","316,867,42,101,At","483,538,44,100,Qs","734,858,41,95,Qs","888,565,47,95,9s","1120,867,47,101,9s","44,1099,47,105,Qp","320,1414,54,108,Qp","482,1065,52,101,4s","723,1398,50,115,4s",,,,
